
7.000000 37.000000      0.99213
7.000000 38.000000        1.053
7.000000 39.000000       1.0979
7.000000 40.000000       1.1271
7.000000 41.000000       1.1415
7.000000 42.000000       1.1419
7.000000 43.000000       1.1293
7.000000 44.000000        1.105
7.000000 45.000000       1.0702
7.000000 46.000000       1.0258
7.000000 47.000000      0.97322
7.000000 48.000000      0.91335
7.000000 49.000000       0.8472
7.000000 50.000000      0.77567
7.000000 51.000000      0.69957
7.000000 52.000000      0.61962
7.000000 53.000000      0.53649
7.000000 54.000000      0.45076
7.000000 55.000000      0.36296
7.000000 56.000000      0.27356
7.000000 57.000000        0.183
7.000000 58.000000     0.091686
7.000000 59.000000            0

8.000000 0.000000            0
8.000000 1.000000    -0.081065
8.000000 2.000000      -0.1619
8.000000 3.000000     -0.24227
8.000000 4.000000     -0.32192
8.000000 5.000000     -0.40054
8.000000 6.000000     -0.47779
8.000000 7.000000     -0.55328
8.000000 8.000000     -0.62653
8.000000 9.000000     -0.69699
8.000000 10.000000     -0.76399
8.000000 11.000000     -0.82676
8.000000 12.000000     -0.88441
8.000000 13.000000      -0.9359
8.000000 14.000000     -0.98005
8.000000 15.000000      -1.0155
8.000000 16.000000      -1.0409
8.000000 17.000000      -1.0546
8.000000 18.000000       -1.055
8.000000 19.000000      -1.0405
8.000000 20.000000      -1.0095
8.000000 21.000000     -0.96081
8.000000 22.000000     -0.89344
8.000000 23.000000     -0.80698
8.000000 24.000000     -0.70166
8.000000 25.000000     -0.57844
8.000000 26.000000     -0.43911
8.000000 27.000000     -0.28619
8.000000 28.000000      -0.1229
8.000000 29.000000     0.046999
8.000000 30.000000      0.21942
8.000000 31.000000      0.39013
8.000000 32.000000      0.55497
8.000000 33.000000      0.71009
8.000000 34.000000      0.85213
8.000000 35.000000      0.97839
8.000000 36.000000       1.0869
8.000000 37.000000       1.1764
8.000000 38.000000       1.2464
8.000000 39.000000       1.2971
8.000000 40.000000        1.329
8.000000 41.000000       1.3433
8.000000 42.000000       1.3411
8.000000 43.000000       1.3238
8.000000 44.000000        1.293
8.000000 45.000000         1.25
8.000000 46.000000       1.1963
8.000000 47.000000       1.1333
8.000000 48.000000       1.0622
8.000000 49.000000      0.98409
8.000000 50.000000      0.90003
8.000000 51.000000      0.81095
8.000000 52.000000      0.71768
8.000000 53.000000      0.62095
8.000000 54.000000      0.52141
8.000000 55.000000      0.41965
8.000000 56.000000      0.31617
8.000000 57.000000      0.21145
8.000000 58.000000      0.10592
8.000000 59.000000            0

9.000000 0.000000            0
9.000000 1.000000    -0.092051
9.000000 2.000000     -0.18388
9.000000 3.000000     -0.27526
9.000000 4.000000     -0.36593
9.000000 5.000000     -0.45559
9.000000 6.000000      -0.5439
9.000000 7.000000     -0.63045
9.000000 8.000000     -0.71474
9.000000 9.000000     -0.79619
9.000000 10.000000     -0.87408
9.000000 11.000000     -0.94757
9.000000 12.000000      -1.0157
9.000000 13.000000      -1.0772
9.000000 14.000000      -1.1308
9.000000 15.000000       -1.175
9.000000 16.000000       -1.208
9.000000 17.000000      -1.2279
9.000000 18.000000      -1.2326
9.000000 19.000000      -1.2202
9.000000 20.000000      -1.1885
9.000000 21.000000      -1.1357
9.000000 22.000000      -1.0604
9.000000 23.000000     -0.96192
9.000000 24.000000     -0.84017
9.000000 25.000000      -0.6962
9.000000 26.000000     -0.53208
9.000000 27.000000      -0.3509
9.000000 28.000000     -0.15667
9.000000 29.000000     0.045918
9.000000 30.000000      0.25171
9.000000 31.000000      0.45535
9.000000 32.000000      0.65163
9.000000 33.000000      0.83569
9.000000 34.000000       1.0034
9.000000 35.000000       1.1514
9.000000 36.000000       1.2774
9.000000 37.000000       1.3801
9.000000 38.000000       1.4591
9.000000 39.000000        1.515
9.000000 40.000000       1.5486
9.000000 41.000000       1.5615
9.000000 42.000000       1.5553
9.000000 43.000000       1.5318
9.000000 44.000000        1.493
9.000000 45.000000       1.4406
9.000000 46.000000       1.3762
9.000000 47.000000       1.3016
9.000000 48.000000        1.218
9.000000 49.000000       1.1269
9.000000 50.000000       1.0294
9.000000 51.000000      0.92654
9.000000 52.000000      0.81921
9.000000 53.000000      0.70823
9.000000 54.000000       0.5943
9.000000 55.000000      0.47805
9.000000 56.000000      0.36001
9.000000 57.000000       0.2407
9.000000 58.000000      0.12055
9.000000 59.000000            0

10.000000 0.000000            0
10.000000 1.000000     -0.10326
10.000000 2.000000     -0.20631
10.000000 3.000000     -0.30896
10.000000 4.000000     -0.41094
10.000000 5.000000       -0.512
10.000000 6.000000     -0.61178
10.000000 7.000000     -0.70988
10.000000 8.000000      -0.8058
10.000000 9.000000     -0.89894
10.000000 10.000000     -0.98856
10.000000 11.000000      -1.0738
10.000000 12.000000      -1.1535
10.000000 13.000000      -1.2264
10.000000 14.000000      -1.2911
